id,created_at,closed_at,state,comments,title
1112,2020-05-11 09:11:25.000000000,2020-05-12 07:28:45.000000000,closed,9,Is there a way to trigger rerender after addResourceBundle
1111,2020-05-11 00:53:01.000000000,2020-06-17 09:10:37.000000000,closed,14,"JSON.Parse error: parsing ""foo"" on StorageEvent ""i18next.translate.boo"""
1110,2020-05-07 08:48:50.000000000,2020-05-20 14:13:01.000000000,closed,1,Using with Webpack Dynamic Imports 
1109,2020-05-06 14:02:52.000000000,2020-05-06 14:09:50.000000000,closed,6,"Trying not to use suspense, getting suspense errors"
1108,2020-05-06 12:13:55.000000000,2020-05-20 14:12:44.000000000,closed,1,TypeError: undefined is not an object (evaluation 'Component.router.getStateForAction')
1107,2020-05-04 19:27:52.000000000,2020-05-20 14:12:27.000000000,closed,3,useTranlation not working with basic html
1106,2020-05-04 11:00:50.000000000,2020-05-04 14:31:14.000000000,closed,9,Interpolation in combination with returnObjects does not work
1105,2020-04-30 15:14:34.000000000,2020-04-30 16:58:48.000000000,closed,2,refactor(nodesToString): remove useless arguments
1104,2020-04-30 00:15:59.000000000,2020-04-30 10:56:40.000000000,closed,1,Interpolate all nested descendants with Trans component
1103,2020-04-29 23:03:53.000000000,2020-06-02 21:31:17.000000000,closed,1,Improvement. It seems `raf` dev dependency is useless.
1102,2020-04-29 19:08:27.000000000,2020-04-30 12:18:08.000000000,closed,7,refactor(nodesToString): flatten logic
1101,2020-04-29 15:10:40.000000000,2020-04-30 12:14:38.000000000,closed,2,test(nodesToString): replace manual object with proper JSX
1100,2020-04-29 14:40:24.000000000,2020-04-30 12:14:38.000000000,closed,1,Improvement. Use JSX in `trans.nodeToString.spec.js` instead of manual object
1099,2020-04-28 18:57:56.000000000,2020-04-28 20:07:44.000000000,closed,2,refactor(Trans): add note for `parent !== undefined` check
1098,2020-04-28 18:29:53.000000000,2020-04-28 20:14:04.000000000,closed,2,refactor(context): remove redundant check `hasUsedI18nextProvider`
1097,2020-04-23 12:19:47.000000000,2020-04-27 12:07:50.000000000,closed,2,Add sideEffects false to package json to allow tree shaking
1096,2020-04-22 12:47:14.000000000,2020-04-22 12:52:31.000000000,closed,1,Simple html elements in translations 
1095,2020-04-21 02:15:03.000000000,2020-04-22 05:36:03.000000000,closed,3,i18next.exists() check returns false for keys that were added with addResourceBundle()
1094,2020-04-20 17:48:01.000000000,2020-04-20 20:53:28.000000000,closed,4,Invalid module name in augmentation. Module 'i18next' resolves to an untyped  module {...} which cannot be augmented.
1093,2020-04-19 02:15:56.000000000,2020-04-19 10:58:19.000000000,closed,1,is there a way to use locale subpath with next.js v.9.x.x ? 
1092,2020-04-18 19:17:01.000000000,2020-04-19 13:46:15.000000000,closed,2,fix returning defaultValue for Trans component
1091,2020-04-18 03:22:51.000000000,2020-04-19 10:54:26.000000000,closed,3,"There are four ""getting start"" guides in the project"
1090,2020-04-17 18:22:23.000000000,2020-04-17 23:30:04.000000000,closed,2,Trans-Component does not work with next/link`s Link component.
1089,2020-04-17 01:31:52.000000000,2020-04-17 01:32:03.000000000,closed,0,Pluralization
1088,2020-04-16 13:21:17.000000000,2020-04-18 12:46:38.000000000,closed,2,Unable to set autofocus attribute on <input> element when using useTranslation hook.
1087,2020-04-15 17:26:46.000000000,2020-04-15 21:21:46.000000000,closed,5,i18next::translator: missingKey [key key]
1086,2020-04-15 06:42:22.000000000,2020-05-20 14:10:55.000000000,closed,3,ICU Macro Does Not Interpolate Values That Are Inside  Of HTML Tags
1085,2020-04-14 18:52:26.000000000,2020-04-15 00:02:22.000000000,closed,2,Bump react-dom from 16.3.2 to 16.13.0 in /example/v9.x.x/test-jest
1084,2020-04-14 13:23:57.000000000,2020-04-14 18:44:37.000000000,closed,0,replace xhr backend with new http backend
1083,2020-04-11 15:13:47.000000000,1970-01-01 00:00:00.000000001,open,2,wait option for withTranslation
1082,2020-04-09 03:18:57.000000000,2020-04-09 13:30:29.000000000,closed,2,Translation Files Not loading on gh-pages publish
1081,2020-04-07 19:54:01.000000000,2020-04-07 21:18:54.000000000,closed,5,withTranslation with {wait:true}
1080,2020-04-07 15:18:11.000000000,2020-05-20 14:10:07.000000000,closed,6,How to handle if any json files are failed to load in react-i18next
1079,2020-04-06 17:35:21.000000000,2020-04-07 11:25:42.000000000,closed,5,returned an object instead of string
1078,2020-04-04 16:40:33.000000000,2020-04-04 19:08:31.000000000,closed,7,Following example/v9.x.x/reactnative-expo resulting to a TypeError: undefined is not an object (evaluating 'module.type')
1077,2020-04-03 06:40:29.000000000,2020-04-03 18:30:42.000000000,closed,5,Cannot update a component while rendering a different component
1076,2020-04-02 18:15:41.000000000,2020-05-20 14:09:52.000000000,closed,4,Nesting reference keys from other namespaces doesn't work
