release,tag_name,commit_id,date,days_since_last_release
186206,mbed_lib_rev77,3136fcc15c96f0b4e77f0a7ab3ff0354bc80160c,2014-02-14 15:38:52,0
190419,mbed_lib_rev78,a8f17f5426dd14412a34d93e1222fd148089dc47,2014-02-18 18:59:58,4
194753,mbed_lib_rev79,95996b8b50d65f5e73b821333b206f1a009a1cb4,2014-02-21 15:15:26,2
194889,mbed_lib_rev80,195a50befc6da080be0051d0d9bc0838f6cb873e,2014-02-21 17:01:25,0
7992836,mbed-os-5.1.0,0712b8adf6bbc7eb796d5dac26f95d79d40745ef,2016-08-05 08:11:51,895
7992852,mbed-os-5.1.1,0993ae540c5c4b5ce3004bead1aefc0c6d1b3ea0,2016-08-13 02:25:32,7
7992909,mbed-os-5.1.2,d2202045ac8f2fc63836a5b7131c9b56ac58f06a,2016-08-20 02:22:19,6
7992925,mbed-os-5.1.3,bdab10dc0f90748b6989c8b577771bb403ca6bd8,2016-09-01 16:00:27,12
7993036,mbed-os-5.1.4,21dd7008a1540c02150f1b87c12294301db979bb,2016-09-16 21:15:17,15
7993079,mbed-os-5.1.5,a6f3fd1a60d5df59246d7caf3f108c4d34e1808e,2016-09-30 19:04:09,13
7993192,mbed-os-5.2.0,e435a07d9252f133ea3d9f6c95dfb176f32ab9b6,2016-10-24 15:07:29,23
7993585,mbed-os-5.2.1,e2617cc0e17f5c3fc2bae6a589c9bcfd3d1a717b,2016-10-27 17:58:26,3
7993620,mbed-os-5.2.2,a1c0840b3d69060e5eb708edb18358e424a40f51,2016-11-08 21:02:35,12
7994081,mbed-os-5.2.3,d5de476f74dd4de27012eb74ede078f6330dfc3f,2016-11-22 16:26:17,13
7994247,mbed-os-5.3.0,c3b9436e12610acaab723f730ab15b48a539a5ac,2016-12-15 23:20:15,23
7994287,mbed-os-5.3.1,0789928ee7f2db08a419fa4a032fffd9bd477aa7,2016-12-20 18:31:12,4
7994329,mbed-os-5.3.2,2885c1b41e63158cb6faf5f107cd821ae06ef26c,2017-01-04 17:11:51,14
7994377,mbed-os-5.3.3,34c1facf42a174f47fdf9002cd8c6bf10ac41744,2017-01-16 15:54:14,11
7994400,mbed-os-5.3.4,269f58d75b752a4e67a6a2d8c5c698635ffd6752,2017-01-31 17:45:03,15
7994414,mbed-os-5.3.5,bcf7085d85b2811b5d68bdda192c754eadfb8f88,2017-02-14 14:54:15,13
7994436,mbed-os-5.3.6,5faf4b26c5954d15c7c1cccac6498e0c690ad101,2017-02-27 18:51:58,13
7041670,mbed-os-5.4.0,305f5c491e34d86098e9da91b322017549c189ff,2017-03-05 23:03:02,6
8012337,mbed-os-5.4.1,f4864dc6429e1ff5474111d4e0f6bee36a759b1c,2017-03-13 19:44:45,7
8012322,mbed-os-5.4.2,50b3418e45484ebf442b88cd935a2d5355402d7d,2017-03-29 13:58:25,15
8012263,mbed-os-5.4.3,42be5c01a7f91292d5e27124ad9584236025f6ab,2017-04-10 15:14:52,12
8012179,mbed-os-5.4.4,ed4febefdede4e88743ca12909b7bc9a3993889a,2017-04-27 12:04:03,16
8012152,mbed-os-5.4.5,8d21974ba35e04c4854e5090c0f8283171664175,2017-05-09 19:57:46,12
8012129,mbed-os-5.4.6,5fff7e1daeb395aa3d1ecf3f9ec3f4fead3de0c2,2017-05-25 14:05:18,15
8012090,mbed-os-5.4.7,fc1836545dcc2fc86f03b01292b62bf2089f67c3,2017-06-07 14:26:13,13
8011764,mbed-os-5.5.0,3179b1cffddea0f0feed1dd551b0e7dc946c12f5,2017-06-17 23:43:11,10
8011983,mbed-os-5.5.1,c9e63f14085f5751ff5ead79a7c0382d50a813a2,2017-06-21 19:20:31,3
8011955,mbed-os-5.5.2,8828635da469162cf2854b5287561c663fb96e72,2017-07-05 00:37:33,13
8011917,mbed-os-5.5.3,ed9d1da9dd0c43907ba40cba5ebd9f2c6da3dc07,2017-07-17 16:21:06,12
8011699,mbed-os-5.5.4,4c256f04596179699c4f14b6863b07cc024ca9be,2017-08-03 00:45:49,16
8011656,mbed-os-5.5.5,db4be94693c3a873cfa0c025a5ad2e62b86a8474,2017-08-14 14:10:07,11
8011263,mbed-os-5.5.6,98ba8acb83cfc65f30a8a0771a27c71443ab093a,2017-08-29 22:05:59,15
7772926,mbed-os-5.5.7,ca661f9d28526ca8f874b05432493a489c9671ea,2017-09-14 14:46:30,15
7912109,mbed-os-5.6.0,5499db1e815b035c2039b6f1e7cbcbf1fd7e0f19,2017-09-23 17:10:56,9
7967163,mbed-os-5.6.1,cc7556a92fb9320f4bebb190c6e1315af116c50c,2017-09-27 15:45:48,3
8081603,mbed-os-5.6.2,6e0d01cd13e8aca7bf4d697c3699ec9225386881,2017-10-07 01:27:22,9
8258291,mbed-os-5.6.3,e62a1b9236b44e70ae3b0902dc538481c04d455b,2017-10-23 18:12:07,16
8436636,mbed-os-5.6.4,78474a5129e18e136cc7e872adbaa5b74fbb8f6a,2017-11-06 18:15:06,14
8637068,mbed-os-5.6.5,182bbd51bc8d1b6217477c2b5de3f1d0c5e6249f,2017-11-21 20:41:41,15
8800012,mbed-os-5.6.6,5f6572179d66ce4c09d6517b659ac51133cc980d,2017-12-04 16:55:10,12
8961304,mbed-os-5.7.0,8b54959f5bca08a8ad44a701bafd634afbb38b03,2017-12-13 23:14:25,9
