release,tag_name,commit_id,date,days_since_last_release
338334,2013.08,a73d57e5dce8db87ad4c4a6ae65fd1c1a3eb42ec,2013-08-16 12:25:29,0
155916,2014.01,ca53203f1f463a5ead47af1a9004f25f456003b5,2014-01-21 21:40:30,158
344334,2014.05,9cde1e5fc3bd57a6a0aad90efe6ad8b15651ca7e,2014-05-28 14:20:32,126
817793,2014.12,b0045b21df1fc6eae291569814a77cc117b8e061,2014-12-31 22:39:03,217
1914022,2015.09,100387a916482248a3d49885f852fca8e684331c,2015-10-06 00:06:42,278
2401249,2015.12,99bcd6d1f88f908a02fe9a29a6e5b494281020fa,2016-01-10 19:51:31,96
3011029,2016.04-RC1,52690178a07153b17f1ac802ee23df78506336f5,2016-04-13 17:07:12,93
3067080,2016.04-RC2,ef0b95e03451700efa18a09dfdcca3fd1fe845d7,2016-04-21 04:12:44,7
3070988,2016.04-RC3,1c96496e3689fbcc1ae107fb698bc232ee828337,2016-04-21 20:45:25,0
3078136,2016.04,59462e95c2fa6ce6c0d3953308688adda9c9ab29,2016-04-22 18:15:53,0
3815611,2016.07,8b1f0b35208432bff384f89b2b8ed4a752d44f76,2016-08-04 22:06:36,104
4636639,2016.10,6e1fe5ffefe4784eb959c5a6b18c3554a82cb1f8,2016-11-11 19:53:46,98
5330338,2017.01,158463e69692a177a4fefd12cbbd51a3f6802045,2017-02-01 21:59:26,82
6337170,2017.04,1424069b686794404f41fadcd5cd28fddf1214c1,2017-05-10 14:45:38,97
7042953,2017.07,341b84ead4be49f8046a5e950cb7eaa4d29c4f59,2017-07-05 21:28:58,56
8285285,2017.10,163b4f300d967ae7b8068d08d5ebe75bf825e1f7,2017-10-27 14:04:18,113
9466766,2018.01,e4fb634e3f18067331fccb968559dff35d989697,2018-01-31 15:48:57,96
10961677,2018.04,99b170d8e8788edc49aa23248effbaeb1a1183d5,2018-05-11 20:05:29,100
12389576,2018.07,bb6bedd708bbccc16d4a0cd9750f56efcd5f9244,2018-08-13 20:24:41,94
13977025,2018.10,6ab5f15466370b6f57e023afa31fca57598af4b8,2018-11-13 18:07:50,91
15368809,2018.10.1,914b5a296b617369d4bf501dada1068c3d1c2681,2019-02-04 18:42:09,83
15580919,2019.01,9876e93b6b601411e0bf40e68e109f67100a284c,2019-02-15 15:54:49,10
17041281,2019.04,7a28e1c6d8813606855ea5fb9943233c5bd3d568,2019-04-29 15:28:52,72
18857188,2019.07,d42c032998e77e122380b3d270ceedb7fff48cda,2019-07-25 13:32:18,86
21118676,2019.10,1b9ec8eef77af116b7c1b6aaf00b044a29345811,2019-10-31 16:32:15,98
23353214,2020.01,8735f8176a84446bc15a6df33331b5ee0129df1f,2020-02-03 23:29:59,95
26042142,2020.04,673187e29c06cdba74f0b82c7b30b9de2538531f,2020-04-30 13:24:19,86
28915348,2020.07,398a06655298a8c705f2bc35aab6703b2c50debd,2020-07-24 17:53:30,85
30320281,2020.07.1,608a20f43939092a010994482ce961cee7056916,2020-08-28 16:33:42,34
