release,tag_name,commit_id,date,days_since_last_release
5215765,v1.1.0,92d81707372f4ba824d3fb1da9d6388c13fc891e,2017-01-20 12:23:59,0
5944519,v1.1.1,81309fffc1df865cf47a75f67e387a3fd2ce5eaf,2017-04-01 10:32:49,70
10874877,v1.1.2,c102dc29e8e1a633c87aa0c54ae120cda1497e60,2018-04-24 10:44:43,388
11705528,tag_LiteOS_V200R001C50B021_20180629,e64c6c8773aaff7c72736d6af71c4be2298994f5,2018-06-29 10:38:17,65
11769405,tag_LiteOS_V200R001C50B022_20180703,1d968596c2cfbc49de6bef542b8122f0fc28fa33,2018-07-03 10:38:01,3
12146057,tag_LiteOS_V200R001C50B023_20180728,c728ae58630017a162df7655f3d3b7e6943efda1,2018-07-27 13:44:38,24
12238652,tag_LiteOS_V200R001C50B030_20180803,6df254a09a57497bc27e473d91f879628d6a4bcb,2018-08-03 11:39:07,6
12372450,tag_LiteOS_V200R001C50B031_20180810,cc738dc7ad42a05cde449c9e166d262d285a21cd,2018-08-13 12:25:47,10
12735432,tag_LiteOS_IDE_20180905,66881ed703f34c800d0248670e11e01cbda4bcf0,2018-09-05 05:44:54,22
13598386,tag_LiteOS_V200R001C50B032_20181023,492594e039d8d7b8300e8bf2eee51ed06696e6cd,2018-10-23 07:40:50,48
13973006,tag_LiteOS_V200R001C50B033_20181113,0a7c0dcb10ffab798af87451f10c9a2c2bcaa22f,2018-11-13 12:00:38,21
14377920,tag_LiteOS_V200R001C50B035_20181206,c6d8aec8bd29bee4dcd21d4b2fd4e330e3e243f9,2018-12-06 07:49:50,22
14629305,tag_LiteOS_V200R001C50B036_20181220,1c32dcd2f3686687da7b6415c375a1d39b06b4f7,2018-12-20 07:28:54,13
14700303,tag_LiteOS_V200R001C50B037_20181226,114d8bd11a29bfeb892b80c0c0c37c66a35c07da,2018-12-26 15:56:54,6
15772318,LiteOSV200R001C50B038,d9c8d1909f22463e62f9d3a2ff5ce2f2ad231bb6,2019-02-20 06:07:58,55
19007911,LiteOSV200R001C50B039,cc0c5ee2ce969947545d17d5cd3a3a9e3cb86469,2019-08-01 12:43:08,162
