dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2004-06-01,1,11,1,1,1,0,0,0,0,0,0,0,0
2004-07-01,1,10,0,1,0,0,0,0,0,0,0,0,0
2004-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-09-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2004-10-01,1,10,0,1,0,0,0,0,0,0,0,0,0
2004-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-12-01,1,9,0,1,0,0,0,0,0,0,0,0,0
2005-01-01,1,102,0,1,0,0,0,0,0,0,0,0,0
2005-02-01,1,30,0,1,0,0,0,0,0,0,0,0,0
2005-03-01,1,59,0,1,0,0,0,0,0,0,0,0,0
2005-04-01,1,32,0,1,0,0,0,0,0,0,0,0,0
2005-05-01,1,23,0,1,0,0,0,0,0,0,0,0,0
2005-06-01,1,86,0,1,0,0,0,0,0,0,0,0,0
2005-07-01,1,78,0,1,0,0,0,0,0,0,0,0,0
2005-08-01,1,48,0,1,0,0,0,0,0,0,0,0,0
2005-09-01,1,33,0,1,0,0,0,0,0,0,0,0,0
2005-10-01,1,22,0,1,0,0,0,0,0,0,0,0,0
2005-11-01,1,13,0,1,0,0,0,0,0,0,0,0,0
2005-12-01,1,55,0,1,0,0,0,0,0,0,0,0,0
2006-01-01,1,24,0,1,0,0,0,0,0,0,0,0,0
2006-02-01,1,46,0,1,0,0,0,0,0,0,0,0,0
2006-03-01,1,124,0,1,0,0,0,0,0,0,0,0,0
2006-04-01,1,38,0,1,0,0,0,0,0,0,0,0,0
2006-05-01,1,35,0,1,0,0,0,0,0,0,0,0,0
2006-06-01,1,18,0,1,0,0,0,0,0,0,0,0,0
2006-07-01,1,7,0,1,0,0,0,0,0,0,0,0,0
2006-08-01,1,34,0,1,0,0,0,0,0,0,0,0,0
2006-09-01,1,34,0,1,0,0,0,0,0,0,0,0,0
2006-10-01,1,43,0,1,0,0,0,0,0,0,0,0,0
2006-11-01,1,21,0,1,0,0,0,0,0,0,0,0,0
2006-12-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2007-01-01,1,10,0,1,0,0,0,0,0,0,0,0,0
2007-02-01,1,17,0,1,0,0,0,0,0,0,0,0,0
2007-03-01,1,19,0,1,0,0,0,0,0,0,0,0,0
2007-04-01,1,11,0,1,0,0,0,0,0,0,0,0,0
2007-05-01,1,161,0,1,0,0,0,0,0,0,0,0,0
2007-06-01,1,17,0,1,0,0,0,0,0,0,0,0,0
2007-07-01,1,28,0,1,0,0,0,0,0,0,0,0,0
2007-08-01,1,47,0,1,0,0,0,0,0,0,0,0,0
2007-09-01,1,32,0,1,0,0,0,0,0,0,0,0,0
2007-10-01,1,21,0,1,0,0,0,0,0,0,0,0,0
2007-11-01,1,17,0,1,0,0,0,0,0,0,0,0,0
2007-12-01,1,12,0,1,0,0,0,0,0,0,0,0,0
2008-01-01,1,66,0,1,0,0,0,0,0,0,0,0,0
2008-02-01,1,25,0,1,0,0,0,0,0,0,0,0,0
