dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2020-02-01,4,126,4,2,2,18,3,16,38,46,90,110,14
2020-03-01,4,85,0,2,0,20,2,18,46,45,79,165,26
2020-04-01,7,107,4,4,2,10,0,11,23,21,50,188,33
2020-05-01,4,45,2,4,1,13,4,8,84,107,245,179,20
2020-06-01,6,57,2,5,1,11,0,11,61,65,245,164,28
2020-07-01,10,36,6,6,2,16,5,11,63,63,201,146,30
2020-08-01,8,85,3,4,0,26,4,19,119,115,252,181,20
