dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2020-05-01,647,1461,647,140,140,858,2930,769,861,3708,2517,319,870
2020-06-01,798,1679,795,197,173,871,42,787,880,832,1614,277,877
2020-07-01,833,1851,830,173,139,940,113,856,943,974,1636,373,966
2020-08-01,747,1600,742,162,116,867,42,750,875,801,1547,354,962
2020-09-01,16,29,15,5,1,15,0,14,15,14,28,7,17
