starred_at,user_id
2017-04-30 06:11:24,PedroBatista333
2017-05-02 14:39:21,hericss
2017-05-04 17:21:38,TicoDePano
2017-05-09 16:52:08,airtoncruz
2017-05-15 16:29:17,ebitencourt
2017-05-19 19:35:32,TonyHenrique
2017-05-25 21:45:14,vagnercazarotto
2017-05-25 22:03:15,Mucaccino
2017-05-26 22:14:41,brunofelix7
2017-05-29 21:15:05,JeffersonMiranda
2017-06-04 02:25:45,hugofialho
2017-06-09 07:01:37,fbadaro
2017-06-14 08:26:46,carloscfcortez
2017-06-16 11:39:18,yonglehou
2017-06-27 00:27:09,rkenjih
2017-06-27 23:19:43,viavn
2017-06-29 01:05:41,robsonfelix
2017-06-29 18:11:47,rodrigoffinger
2017-07-04 06:12:28,naldorp
2017-07-07 00:55:06,dadilton
2017-07-10 14:12:58,cmac
2017-07-12 23:56:03,inventti-glaicon
2017-07-13 17:08:00,cuevas
2017-07-20 22:20:15,lucassantosTI
2017-07-22 01:00:08,josimamedeiros
2017-07-31 00:03:04,fernandotsubota
2017-08-01 00:11:03,mbdavid
2017-08-07 22:45:54,viniciusbarretobr
2017-08-08 21:59:19,adrbarros
2017-08-09 22:44:06,lucasteles
2017-08-15 17:33:10,MagnusIIIBR
2017-08-16 23:21:26,rogerpaviani
2017-08-21 23:47:06,CleilsonSampaioV
2017-08-22 02:23:07,vteodosio
2017-08-22 17:55:52,wesleycouto
2017-08-24 20:41:59,marcosdallagnelo
2017-08-26 15:50:40,marceloadf
2017-08-30 15:52:26,bruno-alencar
2017-08-30 22:59:20,marciorf
2017-09-08 20:56:10,lucasmoreiradev
2017-09-08 20:58:10,vagnercotrim
2017-09-13 03:40:07,guimagcpd
2017-09-16 00:47:41,douglaszaltron
2017-09-19 03:55:17,bilhega
2017-09-25 17:52:35,renanaragao
2017-09-26 05:02:13,lfreire80
2017-09-26 16:35:42,alexaleluia12
2017-09-26 20:00:55,lehfrz
2017-09-27 17:59:05,Matheusleal
2017-09-29 20:26:17,jocieldo
2017-09-29 23:01:00,rinaldo-santana
2017-09-30 17:22:46,phduarte
2017-10-12 02:09:51,LucasFarley
2017-10-18 15:14:10,diogojhony
2017-10-19 17:45:58,leonardosimoura
2017-10-20 02:15:22,cristiano2005reis
2017-10-20 23:35:08,Braytiner
2017-10-24 23:36:42,edigomes
2017-10-30 14:42:40,BrianLima
2017-11-07 18:16:17,marquinhoscunha
2017-11-09 17:38:58,dzfweb
2017-11-13 18:23:02,AlbertoMonteiro
2017-11-13 23:33:44,evaldoavelar
2017-11-21 17:55:29,lucasventura
2017-11-26 04:27:04,JonasUliana
2017-12-15 20:43:31,linkbrasil
2017-12-21 21:15:14,alexmurari
2017-12-29 04:37:37,davidrock
2018-01-04 20:25:21,flaviolovatti
2018-01-20 05:35:10,denmarksdev
2018-01-22 23:32:27,denner14
2018-01-23 16:46:17,adimarjr
2018-01-26 18:38:03,pino
2018-01-30 01:07:32,Marcio-Leite
2018-02-01 20:33:42,renatosramos
2018-02-01 23:08:38,marcelonmoraes
2018-02-02 15:47:15,tarcCar
2018-02-16 13:11:33,gyssels
2018-02-24 01:39:19,Leandragem
2018-03-01 02:24:46,gcoppini
2018-03-05 17:42:41,eversonturossi
2018-03-12 01:32:43,cichondev
2018-03-12 15:19:46,OneideLuizSchneider
2018-03-17 02:15:12,afernandes
2018-03-24 19:12:47,htmribeiro
2018-03-28 16:23:54,lucioalmeida
2018-04-05 15:47:05,lvmattos
2018-04-09 15:17:45,kuninory
2018-04-09 22:08:43,evandrofuhr
2018-04-10 17:18:03,roxdavirox
2018-04-11 00:33:53,ronaldsantos63
2018-04-12 15:59:23,edsonfast
2018-04-16 22:01:38,balbinott
2018-04-18 03:25:09,rogermedeirosdasilva
2018-04-19 18:58:12,srwil
2018-04-26 05:47:25,leonardomerlin
2018-04-28 16:58:53,erasmosena
2018-05-03 17:46:51,Fernando-Fernandez
2018-05-07 16:42:07,gilmargoulart
2018-05-16 22:38:41,pmapelli
2018-05-21 00:18:19,pedroigor91
2018-05-23 05:42:01,denernun
2018-06-04 17:44:23,diegolido
2018-06-07 16:55:11,gabrielschmith
2018-06-14 01:35:11,PedroWiller
2018-06-14 16:55:55,scalarerp
2018-06-16 06:35:45,rovannlinhalis
2018-06-18 03:24:18,LapinDETER
2018-06-18 23:26:32,PedroWilliam
2018-06-21 15:13:45,jeisonperes
2018-06-24 16:55:24,celiooliveira
2018-07-03 02:49:08,mvtaraujo
2018-07-04 05:15:28,claytonaalves
2018-07-06 16:35:41,DnSardinha
2018-07-11 00:07:15,edsonjplima
2018-07-12 01:11:52,leandrovip
2018-07-12 03:49:15,MarcosCostaDev
2018-07-12 23:33:37,JulioCesar82
2018-07-19 17:45:58,m4rkos
2018-07-31 17:35:13,JorgeBarbosaS
2018-08-10 16:28:15,michelbalthazar
2018-08-12 00:07:25,rogerioadris
2018-08-17 01:22:23,carlosviana
2018-08-23 00:09:35,PedroLuz89
2018-08-24 04:14:35,JoaoLucasGtr
2018-08-25 00:09:40,ZyronAlex
2018-08-25 00:57:18,oraculum
2018-08-27 19:34:54,apbertoletti
2018-08-27 21:33:03,pessutti
2018-08-30 17:39:00,ricardofanetto
2018-09-03 07:02:46,Tagliatti
2018-09-03 21:49:08,luizptm
2018-09-09 03:25:47,thiagovalim
2018-09-10 07:51:24,andersonlopes
2018-09-15 23:10:15,CassioMoraes
2018-09-17 23:26:22,rlrpara
2018-09-21 01:16:28,cristianopavlis
2018-09-26 15:24:00,cassianodp
2018-10-01 18:06:18,rezendemarcio
2018-10-04 21:29:29,oBrunoCabral
2018-10-12 04:46:52,KennyMack
2018-10-18 19:09:34,rodrigoafb
2018-10-24 17:45:31,rodrigoupone
2018-10-31 01:46:00,danpadua
2018-11-01 18:40:33,reinaldoacdc
2018-11-01 21:25:37,crtsms
2018-11-02 19:31:44,alexsandrocruz
2018-11-08 22:36:41,muwae
2018-11-23 03:37:38,fcsarthur
2018-11-25 17:36:32,danieldsf
2018-11-28 16:45:52,motadaniel
2018-11-30 01:45:21,hhunterx
2018-12-27 16:13:45,Igor-Lopes
2019-01-04 16:02:11,LosDeveloper
2019-01-17 01:23:53,joseBarreto
2019-02-13 03:55:40,rysahara
2019-02-15 00:10:45,avmesquita
