release,tag_name,commit_id,date,days_since_last_release,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
8696636,aos1.1.0,a8984ceac24713dcb72bbcaa65d237a2825a0b56,2017-11-27 17:37:01,0,8,17,8,7,7,9,1,7,38,15,154,537,133
8778112,aos1.1.1,9c08658119f5f2fe6e001d1e71a5a8a6536f3797,2017-12-05 18:34:19,8,5,7,3,4,1,2,0,2,4,5,15,13,7
8934537,v1.1.2,7e9acc85340a3335b1c5b2f26da31d45c17cd7a0,2017-12-17 06:26:36,11,2,4,0,2,0,0,0,0,5,1,11,22,8
9122686,v1.2.0,60f4c2b4869c61acd47cba64b8d96d621840309d,2018-01-05 16:16:36,19,11,34,7,6,2,12,1,10,18,30,106,118,33
9573518,v1.2.1,5a42cef21352b37a841d8f071a56f9b314a6ce0e,2018-02-08 14:10:03,33,26,97,16,11,5,37,3,32,52,46,134,93,31
10439715,v1.2.2,6013572f5631de82a09322e44a639ea8aa0d0436,2018-03-25 12:31:22,44,16,115,5,8,3,41,6,36,57,53,94,89,47
12055106,v1.3.0,5c76ceb4f7028745fba150e797b4327d0375951a,2018-07-01 12:45:40,98,34,227,23,15,6,110,19,85,213,169,339,410,169
12055158,v1.3.2,c8a29f3dbaf7fe9d7d838ed400b4ea65b8f0a2c9,2018-07-18 19:13:04,17,17,43,9,10,5,26,2,4,46,15,90,60,27
12055150,v1.3.1,ed7b2c93645f54f022ce361eb8067b6315bbd2c5,2018-07-18 19:13:35,0,0,0,0,0,0,0,0,0,0,1,1,0,0
12290376,v1.3.3,5e2d46d1706c404e149303afca2abbae1a4928e7,2018-08-07 18:02:38,19,19,46,6,10,1,18,4,12,33,24,104,63,33
15474416,v2.0.0,552487dfb3f6e48cdce0f7e911454d1b71f48d1f,2019-01-22 10:45:28,167,90,3048,67,17,6,104,52,57,375,302,1110,622,274
16029669,v2.1.0,54b3f087150b0a6f18a6ebdf7760e3608547fce9,2019-03-11 13:39:12,48,45,720,3,3,0,8,3,2,49,28,242,136,65
19071807,v1.3.4,32fbf58778afb50c793b22b23fee3c4e42dbee6e,2019-08-05 10:42:24,146,39,718,1,3,1,12,6,1,133,65,433,401,188
20230870,v3.0.0,c9074e99fbb7ba5c5ecde2ae38ae30b27a913afe,2019-09-25 05:55:22,50,30,284,1,1,0,0,0,0,18,2,57,168,49
25387112,v3.1.0,baa139ba829e95726bcf46531f53f6c1b98fa168,2020-04-10 08:08:51,198,28,1096,0,1,0,4,2,1,112,37,302,516,219
