release,tag_name,commit_id,date,days_since_last_release,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
186206,mbed_lib_rev77,3136fcc15c96f0b4e77f0a7ab3ff0354bc80160c,2014-02-14 15:38:52,0,40,1013,40,19,19,142,13,129,165,157,376,101,66
190419,mbed_lib_rev78,a8f17f5426dd14412a34d93e1222fd148089dc47,2014-02-18 18:59:58,4,8,27,1,3,0,7,1,6,7,7,16,1,1
194753,mbed_lib_rev79,95996b8b50d65f5e73b821333b206f1a009a1cb4,2014-02-21 15:15:26,2,8,38,0,4,0,12,1,11,12,12,2,2,0
194889,mbed_lib_rev80,195a50befc6da080be0051d0d9bc0838f6cb873e,2014-02-21 17:01:25,0,2,3,0,2,0,1,0,0,1,0,0,0,0
7992836,mbed-os-5.1.0,0712b8adf6bbc7eb796d5dac26f95d79d40745ef,2016-08-05 08:11:51,895,291,6329,271,93,81,1710,255,1411,2193,1910,14770,538,478
7992852,mbed-os-5.1.1,0993ae540c5c4b5ce3004bead1aefc0c6d1b3ea0,2016-08-13 02:25:32,7,24,106,5,11,1,35,11,19,61,41,897,16,6
7992909,mbed-os-5.1.2,d2202045ac8f2fc63836a5b7131c9b56ac58f06a,2016-08-20 02:22:19,6,24,86,3,11,2,36,4,19,63,38,913,8,4
7992925,mbed-os-5.1.3,bdab10dc0f90748b6989c8b577771bb403ca6bd8,2016-09-01 16:00:27,12,42,197,5,17,1,69,10,41,98,80,1410,11,9
7993036,mbed-os-5.1.4,21dd7008a1540c02150f1b87c12294301db979bb,2016-09-16 21:15:17,15,50,247,11,19,2,84,12,55,132,90,1736,11,18
7993079,mbed-os-5.1.5,a6f3fd1a60d5df59246d7caf3f108c4d34e1808e,2016-09-30 19:04:09,13,39,380,1,17,1,99,31,117,142,204,2487,22,17
7993192,mbed-os-5.2.0,e435a07d9252f133ea3d9f6c95dfb176f32ab9b6,2016-10-24 15:07:29,23,53,429,12,22,2,134,16,116,242,170,3136,19,22
7993585,mbed-os-5.2.1,e2617cc0e17f5c3fc2bae6a589c9bcfd3d1a717b,2016-10-27 17:58:26,3,22,70,1,12,1,16,3,23,33,39,514,3,5
7993620,mbed-os-5.2.2,a1c0840b3d69060e5eb708edb18358e424a40f51,2016-11-08 21:02:35,12,36,162,5,17,0,49,15,45,79,79,1258,15,7
7994081,mbed-os-5.2.3,d5de476f74dd4de27012eb74ede078f6330dfc3f,2016-11-22 16:26:17,13,32,177,8,19,2,55,5,40,82,61,1102,17,12
7994247,mbed-os-5.3.0,c3b9436e12610acaab723f730ab15b48a539a5ac,2016-12-15 23:20:15,23,37,222,4,16,2,73,3,72,139,121,2167,32,22
7994287,mbed-os-5.3.1,0789928ee7f2db08a419fa4a032fffd9bd477aa7,2016-12-20 18:31:12,4,11,33,0,7,0,12,3,11,24,26,314,2,3
7994329,mbed-os-5.3.2,2885c1b41e63158cb6faf5f107cd821ae06ef26c,2017-01-04 17:11:51,14,19,81,5,9,2,30,1,29,51,65,756,16,10
7994377,mbed-os-5.3.3,34c1facf42a174f47fdf9002cd8c6bf10ac41744,2017-01-16 15:54:14,11,23,93,2,10,1,37,5,33,67,92,1266,15,13
7994400,mbed-os-5.3.4,269f58d75b752a4e67a6a2d8c5c698635ffd6752,2017-01-31 17:45:03,15,29,176,4,15,3,42,3,33,73,121,1467,17,6
7994414,mbed-os-5.3.5,bcf7085d85b2811b5d68bdda192c754eadfb8f88,2017-02-14 14:54:15,13,29,148,1,13,0,55,4,40,103,88,1802,10,13
