release,tag_name,commit_id,date,days_since_last_release,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
6136743,zephyr-v1.5.0,5ca45ba3f2469cd859fac3a448a17158bbb47866,2016-08-27 01:35:49,0,135,8414,135,23,23,0,0,0,4,419,1883,3,3
5714995,v1.6.0-rc3,a16bc64bf8d932deae5a22132eb6191775eace97,2016-11-29 08:39:55,94,93,2465,38,17,7,1,1,0,11,393,1716,24,14
5714994,v1.6.0-rc4,4311814a058f56f6d6ef3a7b52af42154209e31d,2016-12-02 07:30:20,2,23,73,0,9,0,0,0,0,1,21,84,0,1
5714992,v1.6.99,a70bbacb645cb6d57e32d6dd48a09ae1779c8077,2016-12-03 09:09:34,1,16,38,0,8,0,0,0,0,0,14,40,1,0
5714993,zephyr-v1.6.0,d4e799d77a36eaf6d678b357c207411ec32b2d62,2016-12-03 09:49:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5714990,v1.7.0-rc1,cd98edf028d935a86bc6be7a982207fe0ea50a2f,2017-02-15 17:15:36,74,89,1763,23,22,8,1,1,0,5,258,1107,28,11
5714991,v1.7.99,161a863da715019b529cf76c79f1cdade3f98433,2017-02-15 18:46:42,0,1,1,0,1,0,0,0,0,0,0,0,0,0
5714989,v1.7.0-rc2,46a38ee4601b4afff472a88a253312fbd6a4deb5,2017-02-23 20:40:42,8,41,150,3,9,0,0,0,0,2,53,389,2,2
5714988,v1.7.0-rc3,8d22d84b516b5261f3d3f24444d5b622b79c374e,2017-03-02 08:00:13,6,40,92,3,7,0,0,0,0,0,53,362,1,0
5714987,v1.7.0-rc4,3d2893cf85d51ceca04aa3bec2dd5fc77625ff81,2017-03-08 20:54:39,6,33,107,1,8,1,0,0,0,1,34,163,1,0
5714736,zephyr-v1.7.0,bdc3107d5c47d9cf4b6a4e948186a0a2730d92c5,2017-03-11 15:10:56,2,21,56,2,7,1,0,0,0,0,31,161,1,2
6387317,v1.6.1-rc,263c3525e50a549d5b90cad314004a261a42af79,2017-04-27 18:10:08,47,61,827,11,13,2,2,1,0,4,111,456,19,16
6387320,v1.7.1-rc,7a3193ec28826afd367c8b8d36af55415683ccc6,2017-04-27 18:33:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6387287,zephyr-v1.7.1,c90440924f66d6a844cf5e07279fca1949bd2f5d,2017-05-11 18:14:03,13,36,235,2,10,1,115,12,72,1,150,268,40,51
6387302,zephyr-v1.6.1,4e28f0ab8949241a9bf4acda852446b5f793ac25,2017-05-11 18:15:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6704415,v1.8.99,eff52d98542ab826116841af95d6a3bc6057b2c5,2017-05-21 10:44:53,9,27,149,5,11,3,83,9,84,0,138,279,17,16
6457006,v1.8.0-rc1,98e14bc67d832cfbdae46d2c42f1af259ae61b5a,2017-05-22 03:14:07,0,3,4,1,2,1,2,0,1,0,1,0,1,0
