release,tag_name,commit_id,date,days_since_last_release,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
5215765,v1.1.0,92d81707372f4ba824d3fb1da9d6388c13fc891e,2017-01-20 12:23:59,0,4,10,4,3,3,5,2,0,25,8,26,24,12
5944519,v1.1.1,81309fffc1df865cf47a75f67e387a3fd2ce5eaf,2017-04-01 10:32:49,70,4,12,3,3,1,8,6,4,20,31,34,72,35
10874877,v1.1.2,c102dc29e8e1a633c87aa0c54ae120cda1497e60,2018-04-24 10:44:43,388,12,85,8,7,4,13,6,8,108,89,135,424,244
11705528,tag_LiteOS_V200R001C50B021_20180629,e64c6c8773aaff7c72736d6af71c4be2298994f5,2018-06-29 10:38:17,65,9,97,7,3,0,11,2,9,111,120,26,93,61
11769405,tag_LiteOS_V200R001C50B022_20180703,1d968596c2cfbc49de6bef542b8122f0fc28fa33,2018-07-03 10:38:01,3,0,0,0,0,0,0,0,0,10,8,2,5,2
12146057,tag_LiteOS_V200R001C50B023_20180728,c728ae58630017a162df7655f3d3b7e6943efda1,2018-07-27 13:44:38,24,1,6,0,1,0,1,1,0,57,57,13,23,19
12238652,tag_LiteOS_V200R001C50B030_20180803,6df254a09a57497bc27e473d91f879628d6a4bcb,2018-08-03 11:39:07,6,3,6,0,2,0,0,0,0,34,33,0,4,6
12372450,tag_LiteOS_V200R001C50B031_20180810,cc738dc7ad42a05cde449c9e166d262d285a21cd,2018-08-13 12:25:47,10,1,2,0,1,0,1,1,0,35,36,11,6,6
12735432,tag_LiteOS_IDE_20180905,66881ed703f34c800d0248670e11e01cbda4bcf0,2018-09-05 05:44:54,22,1,1,0,1,0,1,1,0,30,28,10,34,23
13598386,tag_LiteOS_V200R001C50B032_20181023,492594e039d8d7b8300e8bf2eee51ed06696e6cd,2018-10-23 07:40:50,48,10,113,10,5,1,0,0,0,82,83,23,56,31
13973006,tag_LiteOS_V200R001C50B033_20181113,0a7c0dcb10ffab798af87451f10c9a2c2bcaa22f,2018-11-13 12:00:38,21,13,119,3,5,0,2,1,0,44,39,21,33,20
14377920,tag_LiteOS_V200R001C50B035_20181206,c6d8aec8bd29bee4dcd21d4b2fd4e330e3e243f9,2018-12-06 07:49:50,22,16,171,3,6,1,5,4,1,73,70,5,35,18
14629305,tag_LiteOS_V200R001C50B036_20181220,1c32dcd2f3686687da7b6415c375a1d39b06b4f7,2018-12-20 07:28:54,13,15,100,2,6,0,0,1,0,56,58,8,18,8
14700303,tag_LiteOS_V200R001C50B037_20181226,114d8bd11a29bfeb892b80c0c0c37c66a35c07da,2018-12-26 15:56:54,6,13,44,0,6,0,1,1,0,42,40,2,17,13
15772318,LiteOSV200R001C50B038,d9c8d1909f22463e62f9d3a2ff5ce2f2ad231bb6,2019-02-20 06:07:58,55,11,49,1,5,0,5,2,0,32,28,23,128,56
19007911,LiteOSV200R001C50B039,cc0c5ee2ce969947545d17d5cd3a3a9e3cb86469,2019-08-01 12:43:08,162,1,1,0,1,0,1,2,1,11,25,50,516,177
