dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2015-04-01,4,0,3,0,0,0,0,0,0,0,0,0,0,5
2015-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2015-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2015-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2015-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2015-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2015-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2015-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2016-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2016-02-01,5391,0,82,0,0,0,0,0,0,0,0,0,0,0
2016-03-01,505,0,43,0,0,0,0,0,0,3,18,0,0,8
2016-04-01,470,0,42,0,0,0,0,0,0,11,61,0,0,5
2016-05-01,445,0,50,0,0,0,0,0,1,62,172,0,0,2
2016-06-01,367,0,45,0,0,0,0,0,0,64,177,1,0,4
2016-07-01,465,0,48,0,0,0,0,0,1,77,392,0,0,2
2016-08-01,239,0,36,0,0,0,0,0,2,106,706,5,3,1
2016-09-01,448,0,58,0,0,0,0,0,4,75,350,8,2,5
2016-10-01,808,0,59,0,0,0,0,0,3,116,480,5,6,3
2016-11-01,704,0,69,0,0,0,0,0,5,200,887,8,7,3
2016-12-01,1405,0,71,0,0,0,0,0,1,86,347,15,3,0
2017-01-01,781,0,79,0,0,0,0,0,3,130,492,9,6,1
2017-02-01,711,0,91,0,0,0,0,0,4,154,931,8,4,2
2017-03-01,564,0,74,0,0,0,0,0,3,129,685,9,8,1
2017-04-01,626,0,71,4,0,3,1,6,3,76,267,20,22,3
2017-05-01,451,0,50,258,23,207,6,756,2,394,858,71,68,1
2017-06-01,489,0,51,228,27,197,6,573,6,431,1025,35,31,2
2017-07-01,442,0,44,277,28,221,8,1015,5,339,624,50,27,4
2017-08-01,594,0,50,319,23,282,7,1282,5,473,1114,46,30,2
2017-09-01,372,0,50,247,15,213,6,889,6,401,970,46,22,1
2017-10-01,673,0,61,357,42,296,7,1848,6,408,1100,54,39,3
2017-11-01,756,0,64,357,52,318,7,1784,2,572,1273,64,39,1
2017-12-01,343,0,43,203,17,143,5,1012,5,225,475,44,32,0
2018-01-01,527,0,61,283,31,261,7,2145,4,381,1388,64,25,2
2018-02-01,581,0,63,267,29,255,8,1986,18,477,1674,55,34,0
2018-03-01,509,0,68,259,25,204,8,1884,10,406,1440,62,38,1
2018-04-01,517,0,64,272,20,227,7,2012,7,340,1196,69,41,3
2018-05-01,953,0,78,547,101,430,8,3679,18,810,3016,67,42,0
2018-06-01,559,0,87,391,44,318,7,2983,21,519,1973,51,34,1
2018-07-01,693,0,90,373,40,338,7,3350,13,466,1782,89,45,1
2018-08-01,631,0,88,372,42,328,7,2913,13,532,2087,119,49,2
2018-09-01,586,0,82,402,54,312,6,2951,28,473,1827,94,39,2
2018-10-01,940,0,105,447,70,387,7,3830,21,600,2630,93,44,4
2018-11-01,839,0,101,572,62,470,7,4522,17,744,2937,90,63,0
2018-12-01,650,0,92,334,32,308,7,2993,23,481,2194,82,43,2
2019-01-01,866,0,110,431,48,405,7,4224,27,672,3373,123,65,3
2019-02-01,1445,0,109,654,54,524,7,4767,35,915,4097,133,43,2
2019-03-01,950,0,94,669,71,576,6,4238,42,1137,3952,115,48,0
2019-04-01,605,0,106,395,50,337,8,2187,31,661,2049,116,70,2
2019-05-01,846,0,121,475,75,427,8,3269,36,766,2508,109,59,1
2019-06-01,697,0,89,443,71,354,8,2697,30,594,2048,121,65,3
2019-07-01,845,0,93,474,64,399,9,2943,31,607,2065,93,46,1
2019-08-01,689,0,93,499,62,374,9,3110,34,877,2929,107,57,1
2019-09-01,892,0,116,472,106,457,9,3176,44,751,2557,87,53,2
2019-10-01,767,0,106,442,58,369,9,2976,59,659,2568,103,61,3
2019-11-01,674,0,108,514,54,367,9,3053,75,713,2623,131,68,2
2019-12-01,621,0,115,355,70,326,10,2560,64,589,2584,99,53,1
2020-01-01,1016,0,130,517,107,474,9,3212,69,734,2827,94,66,0
2020-02-01,960,0,105,515,90,328,9,2770,98,688,2658,101,58,0
2020-03-01,1083,0,130,563,70,493,9,3269,90,810,2975,80,70,1
2020-04-01,1157,0,121,657,99,560,8,3622,99,858,3084,95,76,0
2020-05-01,951,0,116,632,59,461,10,3375,226,800,3571,124,71,1
2020-06-01,754,0,126,455,57,391,9,2008,262,626,2341,121,84,0
2020-07-01,115,0,39,69,13,67,7,286,67,103,368,13,13,0
